Scan.Type,Scan.Date,Scan Entered into CME,Latitude,Longitude,Run.No.
Delivery,9/05/2019 11:28,9/05/2019 11:28,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:29,9/05/2019 11:29,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:39,9/05/2019 11:42,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:46,9/05/2019 11:46,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:46,10/05/2019 2:08,,,WCP306  
Delivery,9/05/2019 11:46,9/05/2019 11:46,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:47,9/05/2019 11:47,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:47,9/05/2019 11:47,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:47,10/05/2019 2:08,,,WCP306  
Delivery,9/05/2019 11:53,9/05/2019 11:54,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:55,9/05/2019 11:55,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:56,9/05/2019 11:56,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:58,9/05/2019 11:58,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 11:58,9/05/2019 11:58,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:00,9/05/2019 12:01,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:03,9/05/2019 12:04,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:04,9/05/2019 12:05,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:06,9/05/2019 12:06,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:07,9/05/2019 12:07,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:10,9/05/2019 12:11,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:14,9/05/2019 12:15,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:16,9/05/2019 12:16,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:18,9/05/2019 12:18,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:19,9/05/2019 12:19,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:20,9/05/2019 12:20,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:22,9/05/2019 12:23,-41.2583585,174.7876374,WCP306  
Attempted Delivery,9/05/2019 12:24,9/05/2019 12:26,-41.2583585,174.7876374,WCP306  
Attempted Delivery,9/05/2019 12:25,9/05/2019 12:26,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:29,9/05/2019 12:29,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:29,9/05/2019 12:30,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:31,9/05/2019 12:31,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:33,9/05/2019 12:33,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:34,9/05/2019 12:35,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:34,9/05/2019 12:35,-41.2583585,174.7876374,WCP306  
Delivery,9/05/2019 12:36,9/05/2019 12:36,-41.2583585,174.7876374,WCP306  
